UsingWhile,UsingDoWhile,ViewHelperAsAnObject,NoClearArg,BreakLoop,WriteOptimised
33.7692,0.4145,0.3473,0.3835,0.2624,0.2637
0.0508,0.0881,0.0591,0.0509,0.051,0.0826
0.0533,0.0473,0.0929,0.0414,0.0613,0.0535
0.0688,1.5825,0.402,0.0637,0.0487,0.0557
0.0455,0.0431,0.0388,0.0327,0.0416,0.0387
0.0442,0.0422,0.0447,0.0365,0.0455,0.0658
0.8863,5.4442,0.5662,0.5023,0.0617,0.5914
0.6702,1.2876,0.8155,0.8133,0.0736,0.5408
0.5117,0.4835,2.9599,1.1695,1.0846,0.3712
0.6052,0.7702,0.7213,0.4853,0.0598,0.6115
0.5716,0.924,2.025,1.4921,0.6493,0.9894
0.8545,0.3778,1.0337,0.1055,0.6077,3.4842
3.2464,0.5109,0.3533,0.4991,0.0788,0.5109
0.5318,0.4542,0.4076,0.4437,0.0559,0.3936
0.4698,0.3884,0.3958,1.9975,0.0826,1.0312
0.4002,0.3925,0.3836,0.3982,0.0647,0.5131
1.0247,0.4584,0.9526,0.1985,0.7199,1.4818
5.844,0.9829,0.7528,0.137,0.7044,0.7488
1.0428,3.7576,1.5302,0.1752,0.8485,0.4739
0.2815,0.6329,0.5895,0.5542,0.3246,0.3624
2.2028,1.4522,0.7374,0.7712,0.0773,0.7685
0.6958,1.068,2.1603,1.4082,0.7099,0.1225
1.3783,0.5679,0.4329,0.4421,0.0732,0.4296
0.4191,0.4579,0.6071,0.4026,0.0555,0.4589
0.4812,0.4415,0.3917,0.36,0.0539,0.5903
2.6534,0.5584,0.4264,0.3933,0.0545,0.5916
0.8524,0.4951,0.3942,0.4287,0.0533,0.4682
0.4612,0.4585,0.4583,0.4395,0.059,0.5066
0.4392,0.58,2.1845,0.5214,0.0563,0.3964
0.3884,0.4876,0.5027,0.4921,0.0719,0.5
0.4514,0.4944,0.4664,0.3634,0.0557,0.4357
0.4888,0.4829,0.4815,0.6579,2.8551,0.7449
1.6774,0.1068,1.0951,0.5976,0.0664,0.6111
0.5477,1.1256,0.7959,0.1035,3.0048,2.9745
2,0.1278,0.9464,0.3083,0.0872,0.6164
0.5483,0.5676,2.4281,0.4435,0.1027,1.3752
0.576,0.7317,0.6369,0.6594,0.0741,0.6545
1.0151,0.3982,0.5667,0.5538,0.0696,0.7572
3.147,0.7726,0.5209,0.5034,0.0716,0.5202
0.5489,0.499,0.5675,0.5279,0.2164,1.2874
0.1924,0.6188,0.7172,0.5454,0.0651,0.6475
2.9447,0.2929,0.8021,0.5875,0.0644,1.1132
0.8832,0.7478,0.9681,0.7393,0.0602,0.5583
0.5362,0.5361,2.3221,1.3498,0.0709,0.5814
0.4977,0.744,1.2223,0.1,0.0843,0.494
0.4864,0.517,0.6014,0.3476,0.1198,3.8914
0.1055,0.7849,0.4043,0.3491,0.675,0.6523
0.1263,0.5536,0.8903,0.5553,0.0601,2.2288
0.6766,1.3958,1.8305,0.3633,1.5502,1.6786
1.1248,6.5534,0.8998,0.1096,0.7634,1.1729
0.948,1.8835,0.8802,0.5905,2.2414,1.3646
1.2454,0.5866,1.6254,1.8143,0.8654,1.3704
0.9351,2.755,8.985,1.8174,1.367,3.0903
0.9424,1.4166,0.7711,0.2517,0.6905,1.1556
0.7753,1.8469,1.7969,0.1741,0.8841,0.8062
0.8509,0.7773,0.7739,0.13,0.8266,1.8586
2.4314,2.8413,0.7415,3.3962,0.912,4.8892
0.7654,0.7576,0.8596,1.2696,0.9088,2.7473
1.132,0.551,2.0164,0.3676,0.3655,0.9056
0.3922,1.3018,0.8082,1.1865,2.3841,1.1005
1.4722,1.4792,0.3048,0.5621,0.3124,1.408
0.5274,1.3048,3.496,1.6188,1.0517,3.1607
0.5893,4.3343,2.5833,1.3018,0.6776,1.9525
0.9341,0.6608,0.8236,0.0654,0.6443,1.0497
5.9672,0.3903,1.2559,0.8127,0.6744,0.6796
0.6353,0.6042,2.3676,0.1347,0.9846,0.9122
0.6238,0.5828,0.5621,0.0639,0.5589,0.5665
4.0832,2.1872,0.9915,0.7044,0.9836,1.2702
0.4414,0.8567,1.6906,2.1597,1.467,2.0022
1.4624,1.432,0.2687,1.0183,0.4363,3.127
1.366,1.1286,1.6605,1.8446,0.2546,5.4105
0.7878,0.8696,0.95,0.3908,0.0816,0.6788
0.6711,0.8965,0.2987,0.472,0.0707,0.5003
0.7518,2.2612,3.6189,1.3976,0.312,3.6092
3.7074,2.1959,2.1408,0.85,0.0905,0.5595
3.3287,0.2005,1.8185,0.918,0.1153,0.932
0.9685,0.5983,0.5331,0.6056,1.5227,3.4064
1.8418,3.9529,1.7188,1.7701,0.1385,1.336
0.6117,0.6341,0.6086,0.6198,0.0709,0.6562
0.6206,0.663,0.6704,1.6945,0.2208,2.4148
1.1594,0.9883,0.7948,1.5814,0.3651,1.7759
2.4654,2.148,1.8651,0.3982,0.074,1.031
2.1273,0.5334,1.8414,0.5004,0.665,1.4815
0.5183,0.2215,0.9292,1.1861,0.0725,0.6818
0.6992,0.6118,0.7239,0.8894,2.0189,0.3185
2.5242,0.7403,0.0981,0.5965,0.0792,0.7036
1.3229,0.0991,0.6125,0.594,0.8934,3.2621
1.6003,1.1348,0.731,0.7398,0.0748,0.6439
2.2976,0.1768,0.6156,0.5065,1.3634,0.6083
1.3424,0.6449,1.3316,0.4584,0.0796,0.4943
0.5662,0.2878,0.5042,0.4669,0.1027,0.7245
0.366,1.8775,0.4513,1.3041,0.757,0.5779
1.3604,0.3673,0.8344,2.8654,2.644,0.7928
0.9643,2.2871,1.7649,2.6411,1.1943,2.3498
2.4409,0.3243,1.4301,0.0825,0.8122,0.534
0.6039,2.1253,1.424,0.8514,0.6964,2.231
1.6346,0.7826,2.5969,0.1219,8.3517,0.3363
2.1891,2.5838,2.0151,2.704,0.1036,0.5477
0.6888,1.9414,0.5451,1.3621,0.0669,1.726
3.0949,2.5722,1.9687,1.3284,0.0661,0.554
0.4622,0.5502,0.7047,0.5989,0.0583,0.4461
0.4113,0.4186,0.4162,0.3927,0.0532,0.4211
0.398,0.4243,1.7964,1.3206,0.7674,0.5461
0.664,0.5377,0.5006,0.4551,0.0555,0.4831
0.463,0.4653,0.4556,0.4033,0.0542,0.8317
1.9487,0.6394,1.5468,0.7495,0.0747,0.9265
0.4994,0.5616,1.044,0.0889,0.3726,1.1087
0.8488,1.4219,0.6662,0.7367,0.0658,0.7483
0.6103,0.7821,0.6009,0.8004,0.0861,0.6768
0.8055,2.9938,0.9331,1.4047,0.1176,1.0899
0.0988,1.0489,0.6199,0.4692,0.0548,0.4846
0.543,0.4229,0.456,0.4643,0.0553,0.5159
3.1283,1.1749,0.7165,0.5082,0.0697,0.7386
1.2783,0.491,0.7381,0.6546,0.0746,1.6887
1.2181,0.7437,1.5764,0.6514,0.3721,0.6886
0.9481,0.9097,0.8282,0.0685,0.3571,0.4396
1.2053,2.6248,1.5661,1.4893,0.9367,0.3667
0.6792,0.59,0.7486,0.5595,1.0097,0.8663
1.6157,0.5181,0.7709,0.6754,0.0634,0.603
0.5925,0.7179,3.8727,0.2969,0.1584,2.5119
0.7119,0.5286,0.7183,0.9524,0.5319,0.5544
0.6653,0.6848,1.6839,0.7298,0.0804,2.3574
1.0237,0.214,1.7771,0.279,0.175,1.3752
1.1249,1.3632,0.6111,1.5258,0.0858,0.9015
0.5267,0.4472,0.4339,0.4287,0.0537,0.4018
0.734,0.6334,0.5215,0.4581,0.0512,0.4688
0.5821,2.1647,0.7563,0.654,0.0579,0.4506
0.4182,0.6302,0.905,0.4535,0.0611,0.4732
0.4564,0.9562,0.6062,0.4721,0.0594,0.4623
0.4639,0.4743,3.0353,0.5256,0.0969,0.6563
0.7284,0.779,0.9082,0.5882,0.0716,1.0273
0.0984,1.0256,3.3705,0.2015,0.1555,0.0789
0.1134,2.0116,1.3299,0.106,0.757,0.5162
0.3338,0.702,0.7095,0.5106,0.065,0.6444
1.0653,3.4308,0.4092,0.7394,1.6656,0.8568
0.4519,0.9646,0.7916,0.1919,0.39,1.0134
2.2462,1.5358,0.7381,0.0621,0.6057,0.5364
0.3238,1.1715,1.2827,0.3994,0.5305,4.2418
0.434,1.4437,0.1027,0.5381,0.0682,0.5435
0.5487,0.5305,0.5181,0.4876,0.0659,0.5701
0.4512,2.1863,0.6311,1.4775,0.0872,0.6178
